2015-09-13_20:21:29.518/CAT | DEBUG | [main] |  | org.jboss.logging | Logging Provider: org.jboss.logging.Log4jLoggerProvider
2015-09-13_20:21:29.607/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration boolean -> org.hibernate.type.BooleanType@184e6efc
2015-09-13_20:21:29.607/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration boolean -> org.hibernate.type.BooleanType@184e6efc
2015-09-13_20:21:29.608/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@184e6efc
2015-09-13_20:21:29.609/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@c710a3b
2015-09-13_20:21:29.612/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration true_false -> org.hibernate.type.TrueFalseType@19472dca
2015-09-13_20:21:29.614/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration yes_no -> org.hibernate.type.YesNoType@71971d92
2015-09-13_20:21:29.619/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration byte -> org.hibernate.type.ByteType@47357842
2015-09-13_20:21:29.619/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration byte -> org.hibernate.type.ByteType@47357842
2015-09-13_20:21:29.619/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@47357842
2015-09-13_20:21:29.621/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration character -> org.hibernate.type.CharacterType@22c88c75
2015-09-13_20:21:29.621/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration char -> org.hibernate.type.CharacterType@22c88c75
2015-09-13_20:21:29.622/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@22c88c75
2015-09-13_20:21:29.625/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration short -> org.hibernate.type.ShortType@c184a81
